date_from,date_to,poster_nick,polemica_nick,user_id,black_games,mafia_games,don_games,games_with_speech_foul,speech_fouls,on_black,on_red,on_self,on_unknown,on_don,on_mafia,on_civilian,on_sheriff,pct_on_black_vs_red,pct_on_red_vs_black,black_per_red,pct_on_black_all_speech,pct_on_red_all_speech,pct_on_self_all_speech,naive_random_black_share_pct
2026-01-01,2026-08-27,Axeon,Axeon,81057,87,53,34,48,74,15,57,2,0,3,12,56,1,20.8,79.2,0.263,20.3,77.0,2.7,22.2
2026-01-01,2026-08-27,Elric,Elric,99882,48,32,16,27,40,9,31,0,0,3,6,27,4,22.5,77.5,0.29,22.5,77.5,0.0,22.2
2026-01-01,2026-08-27,Hartmann,HARTMANN_SPB,56102,10,7,3,5,10,3,7,0,0,0,3,5,2,30.0,70.0,0.429,30.0,70.0,0.0,22.2
2026-01-01,2026-08-27,Macarena,Macarena,70253,43,22,21,26,42,9,33,0,0,2,7,28,5,21.4,78.6,0.273,21.4,78.6,0.0,22.2
2026-01-01,2026-08-27,Story,Story,59762,27,16,11,16,26,7,18,1,0,2,5,14,4,28.0,72.0,0.389,26.9,69.2,3.8,22.2
2026-01-01,2026-08-27,avomarika,avomarika,60805,55,39,16,28,40,8,31,1,0,3,5,23,8,20.5,79.5,0.258,20.0,77.5,2.5,22.2
2026-01-01,2026-08-27,Алёна,Alena78,23794,43,30,13,32,58,12,45,1,0,3,9,35,10,21.1,78.9,0.267,20.7,77.6,1.7,22.2
2026-01-01,2026-08-27,Аномалия,Anомалия,98224,50,32,18,38,78,13,62,3,0,4,9,61,1,17.3,82.7,0.21,16.7,79.5,3.8,22.2
2026-01-01,2026-08-27,Белладонна,Белладонна,84683,46,31,15,39,74,14,60,0,0,4,10,47,13,18.9,81.1,0.233,18.9,81.1,0.0,22.2
2026-01-01,2026-08-27,Вега,Вега,74136,48,28,20,24,35,7,27,1,0,0,7,25,2,20.6,79.4,0.259,20.0,77.1,2.9,22.2
2026-01-01,2026-08-27,Д. Колбасенко,Данил_Колбасенко,88950,62,41,21,57,117,19,96,2,0,7,12,84,12,16.5,83.5,0.198,16.2,82.1,1.7,22.2
2026-01-01,2026-08-27,Кармин,Кармин,70516,67,42,25,41,63,10,52,1,0,3,7,44,8,16.1,83.9,0.192,15.9,82.5,1.6,22.2
2026-01-01,2026-08-27,Ластхиро,Ластхиро,343,49,41,8,37,68,8,59,1,0,4,4,52,7,11.9,88.1,0.136,11.8,86.8,1.5,22.2
2026-01-01,2026-08-27,Лиса,Лисa,86129,56,34,22,30,48,8,38,2,0,3,5,36,2,17.4,82.6,0.211,16.7,79.2,4.2,22.2
2026-01-01,2026-08-27,Марипоса,Марипоса,128592,51,35,16,32,61,13,47,1,0,2,11,41,6,21.7,78.3,0.277,21.3,77.0,1.6,22.2
2026-01-01,2026-08-27,Саня запчасти,саня запчасти,41582,15,11,4,10,16,2,14,0,0,1,1,13,1,12.5,87.5,0.143,12.5,87.5,0.0,22.2
2026-01-01,2026-08-27,Секрет,Секрет-,88154,49,34,15,36,61,8,52,1,0,4,4,44,8,13.3,86.7,0.154,13.1,85.2,1.6,22.2
2026-01-01,2026-08-27,ФДМ,ФДМ,1306,23,14,9,22,48,11,37,0,0,0,11,32,5,22.9,77.1,0.297,22.9,77.1,0.0,22.2
2026-01-01,2026-08-27,Фартушная,Фартушная,1302,17,12,5,15,27,5,22,0,0,1,4,20,2,18.5,81.5,0.227,18.5,81.5,0.0,22.2
2026-01-01,2026-08-27,Фырчик,Фырчик,78547,45,32,13,10,11,1,10,0,0,0,1,9,1,9.1,90.9,0.1,9.1,90.9,0.0,22.2
