poster_nick,polemica_nick,user_id,mafia_games,games_with_first_vote,games_no_first_vote,voted_civilian,voted_sheriff,voted_own_mafia,voted_own_don,voted_own_black,voted_self,voted_unknown,pct_civilian,pct_sheriff,pct_own_mafia,pct_own_don,pct_own_black,pct_red_town,first_vote_on_protocol_day1,first_vote_on_protocol_day2plus,protocol_day1_ballot_games,protocol_day1_voted_civilian,protocol_day1_voted_sheriff,protocol_day1_voted_own_mafia,protocol_day1_voted_own_don,protocol_day1_voted_own_black,protocol_day1_voted_self,protocol_day1_no_ballot,note
Axeon,Axeon,81057,66,63,3,34,12,5,11,16,1,0,54.0,19.0,7.9,17.5,25.4,73.0,2,61,2,1,0,1,0,1,0,64,"Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Elric,Elric,99882,35,30,5,20,4,2,2,4,2,0,66.7,13.3,6.7,6.7,13.3,80.0,0,30,0,0,0,0,0,0,0,35,"Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Hartmann,HARTMANN_SPB,56102,18,18,0,13,3,1,1,2,0,0,72.2,16.7,5.6,5.6,11.1,88.9,4,14,4,4,0,0,0,0,0,14,"Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Macarena,Macarena,70253,25,25,0,14,6,2,1,3,2,0,56.0,24.0,8.0,4.0,12.0,80.0,0,25,0,0,0,0,0,0,0,25,"Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Story,Story,59762,41,41,0,24,5,4,5,9,3,0,58.5,12.2,9.8,12.2,22.0,70.7,2,39,2,1,0,0,1,1,0,39,"Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
avomarika,avomarika,60805,48,48,0,24,10,8,4,12,2,0,50.0,20.8,16.7,8.3,25.0,70.8,0,48,0,0,0,0,0,0,0,48,"Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Алёна,Alena78,23794,31,31,0,22,4,2,1,3,2,0,71.0,12.9,6.5,3.2,9.7,83.9,0,31,0,0,0,0,0,0,0,31,"Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Аномалия,Anомалия,98224,45,44,1,31,5,4,3,7,1,0,70.5,11.4,9.1,6.8,15.9,81.8,0,44,0,0,0,0,0,0,0,45,"Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Белладонна,Белладонна,84683,50,50,0,32,2,10,4,14,2,0,64.0,4.0,20.0,8.0,28.0,68.0,0,50,0,0,0,0,0,0,0,50,"Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Вега,Вега,74136,39,36,3,22,4,4,5,9,1,0,61.1,11.1,11.1,13.9,25.0,72.2,0,36,0,0,0,0,0,0,0,39,"Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
