date_from,date_to,poster_nick,polemica_nick,user_id,mafia_games,sheriff_n1_checked,pct_sheriff_n1_on_mafia,games_with_sheriff_n1,naive_random_pct
2026-01-01,2026-08-27,Axeon,Axeon,81057,53,11,20.8,50,11.1
2026-01-01,2026-08-27,Elric,Elric,99882,32,3,9.4,27,11.1
2026-01-01,2026-08-27,Hartmann,HARTMANN_SPB,56102,7,0,0.0,7,11.1
2026-01-01,2026-08-27,Macarena,Macarena,70253,22,1,4.5,22,11.1
2026-01-01,2026-08-27,Story,Story,59762,16,5,31.2,16,11.1
2026-01-01,2026-08-27,avomarika,avomarika,60805,39,6,15.4,38,11.1
2026-01-01,2026-08-27,Алёна,Alena78,23794,30,3,10.0,30,11.1
2026-01-01,2026-08-27,Аномалия,Anомалия,98224,32,4,12.5,32,11.1
2026-01-01,2026-08-27,Белладонна,Белладонна,84683,31,2,6.5,31,11.1
2026-01-01,2026-08-27,Вега,Вега,74136,28,6,21.4,25,11.1
2026-01-01,2026-08-27,Д. Колбасенко,Данил_Колбасенко,88950,41,7,17.1,40,11.1
2026-01-01,2026-08-27,Кармин,Кармин,70516,42,5,11.9,42,11.1
2026-01-01,2026-08-27,Ластхиро,Ластхиро,343,41,4,9.8,41,11.1
2026-01-01,2026-08-27,Лиса,Лисa,86129,34,4,11.8,34,11.1
2026-01-01,2026-08-27,Марипоса,Марипоса,128592,35,6,17.1,35,11.1
2026-01-01,2026-08-27,Саня запчасти,саня запчасти,41582,11,0,0.0,11,11.1
2026-01-01,2026-08-27,Секрет,Секрет-,88154,34,7,20.6,33,11.1
2026-01-01,2026-08-27,ФДМ,ФДМ,1306,14,0,0.0,13,11.1
2026-01-01,2026-08-27,Фартушная,Фартушная,1302,12,1,8.3,12,11.1
2026-01-01,2026-08-27,Фырчик,Фырчик,78547,32,3,9.4,24,11.1
