date_from,date_to,poster_nick,polemica_nick,user_id,civilian_games,voted_civilian,voted_don,voted_mafia,voted_black,voted_self,voted_unknown,pct_sheriff,pct_civilian,pct_don,pct_mafia,pct_black
2026-01-01,2026-08-27,ALL,,,1697,596,230,456,686,14,0,6.6,42.9,16.6,32.9,49.4
2026-01-01,2026-08-27,Axeon,Axeon,81057,140,60,14,42,56,2,0,3.3,49.2,11.5,34.4,45.9
2026-01-01,2026-08-27,Elric,Elric,99882,97,27,11,28,39,0,0,7.0,38.0,15.5,39.4,54.9
2026-01-01,2026-08-27,Hartmann,HARTMANN_SPB,56102,19,9,1,5,6,0,0,11.8,52.9,5.9,29.4,35.3
2026-01-01,2026-08-27,Macarena,Macarena,70253,83,22,12,23,35,0,0,1.7,37.9,20.7,39.7,60.3
2026-01-01,2026-08-27,Story,Story,59762,45,15,7,17,24,0,0,4.9,36.6,17.1,41.5,58.5
2026-01-01,2026-08-27,avomarika,avomarika,60805,108,43,20,26,46,1,0,2.2,46.7,21.7,28.3,50.0
2026-01-01,2026-08-27,Алёна,Alena78,23794,79,27,14,21,35,0,0,6.1,40.9,21.2,31.8,53.0
2026-01-01,2026-08-27,Аномалия,Anомалия,98224,82,30,9,22,31,1,0,10.1,43.5,13.0,31.9,44.9
2026-01-01,2026-08-27,Белладонна,Белладонна,84683,93,30,13,15,28,1,0,4.8,48.4,21.0,24.2,45.2
2026-01-01,2026-08-27,Вега,Вега,74136,123,32,15,32,47,1,0,5.9,37.6,17.6,37.6,55.3
2026-01-01,2026-08-27,Д. Колбасенко,Данил_Колбасенко,88950,100,29,19,29,48,3,0,14.0,31.2,20.4,31.2,51.6
2026-01-01,2026-08-27,Кармин,Кармин,70516,118,34,13,52,65,1,0,10.7,30.4,11.6,46.4,58.0
2026-01-01,2026-08-27,Ластхиро,Ластхиро,343,72,17,16,18,34,1,0,5.5,30.9,29.1,32.7,61.8
2026-01-01,2026-08-27,Лиса,Лисa,86129,111,50,8,24,32,1,0,9.8,54.3,8.7,26.1,34.8
2026-01-01,2026-08-27,Марипоса,Марипоса,128592,113,53,19,30,49,0,0,4.7,49.5,17.8,28.0,45.8
2026-01-01,2026-08-27,Саня запчасти,саня запчасти,41582,47,26,6,10,16,0,0,4.5,59.1,13.6,22.7,36.4
2026-01-01,2026-08-27,Секрет,Секрет-,88154,118,42,15,29,44,0,0,7.5,45.2,16.1,31.2,47.3
2026-01-01,2026-08-27,ФДМ,ФДМ,1306,27,6,4,4,8,0,0,6.7,40.0,26.7,26.7,53.3
2026-01-01,2026-08-27,Фартушная,Фартушная,1302,46,13,5,13,18,2,0,2.9,38.2,14.7,38.2,52.9
2026-01-01,2026-08-27,Фырчик,Фырчик,78547,76,31,9,16,25,0,0,6.7,51.7,15.0,26.7,41.7
