date_from,date_to,poster_nick,polemica_nick,user_id,games,games_with_first_vote_out,first_voted,pct_first_voted,as_civilian,as_sheriff,as_mafia,as_don,day2,day3plus,solo_elim,multi_elim,naive_random_pct,unique_games,unique_with_vote_out
2026-01-01,2026-08-27,ALL,,,2882,2772,289,10.0,144,20,100,25,278,11,248,41,11.1,1226,1165
2026-01-01,2026-08-27,Д. Колбасенко,Данил_Колбасенко,88950,177,177,25,14.1,12,2,10,1,25,0,22,3,11.1,,
2026-01-01,2026-08-27,Кармин,Кармин,70516,200,200,24,12.0,14,1,8,1,23,1,18,6,11.1,,
2026-01-01,2026-08-27,Elric,Elric,99882,159,139,19,11.9,11,1,5,2,18,1,19,0,11.1,,
2026-01-01,2026-08-27,Axeon,Axeon,81057,254,230,29,11.4,14,2,11,2,28,1,25,4,11.1,,
2026-01-01,2026-08-27,Фырчик,Фырчик,78547,141,113,16,11.3,9,1,4,2,14,2,14,2,11.1,,
2026-01-01,2026-08-27,Марипоса,Марипоса,128592,182,182,20,11.0,9,1,8,2,20,0,16,4,11.1,,
2026-01-01,2026-08-27,avomarika,avomarika,60805,171,171,18,10.5,8,1,7,2,16,2,16,2,11.1,,
2026-01-01,2026-08-27,Аномалия,Anомалия,98224,144,143,15,10.4,8,0,3,4,15,0,12,3,11.1,,
2026-01-01,2026-08-27,Macarena,Macarena,70253,139,139,14,10.1,5,1,6,2,13,1,13,1,11.1,,
2026-01-01,2026-08-27,Алёна,Alena78,23794,138,138,14,10.1,6,2,4,2,14,0,14,0,11.1,,
2026-01-01,2026-08-27,Story,Story,59762,80,80,8,10.0,4,0,3,1,8,0,8,0,11.1,,
2026-01-01,2026-08-27,Белладонна,Белладонна,84683,161,160,16,9.9,8,1,5,2,14,2,12,4,11.1,,
2026-01-01,2026-08-27,Ластхиро,Ластхиро,343,143,143,14,9.8,7,0,7,0,14,0,13,1,11.1,,
2026-01-01,2026-08-27,Секрет,Секрет-,88154,183,171,17,9.3,9,2,5,1,17,0,14,3,11.1,,
2026-01-01,2026-08-27,Фартушная,Фартушная,1302,70,70,5,7.1,3,0,2,0,5,0,5,0,11.1,,
2026-01-01,2026-08-27,Саня запчасти,саня запчасти,41582,71,71,5,7.0,4,1,0,0,5,0,4,1,11.1,,
2026-01-01,2026-08-27,Вега,Вега,74136,188,164,13,6.9,7,0,6,0,13,0,10,3,11.1,,
2026-01-01,2026-08-27,Лиса,Лисa,86129,188,188,13,6.9,4,3,6,0,12,1,9,4,11.1,,
2026-01-01,2026-08-27,ФДМ,ФДМ,1306,58,58,3,5.2,1,1,0,1,3,0,3,0,11.1,,
2026-01-01,2026-08-27,Hartmann,HARTMANN_SPB,56102,35,35,1,2.9,1,0,0,0,1,0,1,0,11.1,,
