date_from,date_to,poster_nick,polemica_nick,user_id,games,games_with_first_vote_out,pct_first_voted,as_civilian,as_sheriff,day2,day3plus,solo_elim,multi_elim,naive_random_pct,unique_games,unique_with_vote_out
2026-01-01,2026-08-27,ALL,,,1991,1910,8.2,144,20,157,7,140,24,11.1,1226,1165
2026-01-01,2026-08-27,Д. Колбасенко,Данил_Колбасенко,88950,115,115,12.2,12,2,14,0,11,3,11.1,,
2026-01-01,2026-08-27,Кармин,Кармин,70516,133,133,11.3,14,1,15,0,11,4,11.1,,
2026-01-01,2026-08-27,Elric,Elric,99882,111,96,10.8,11,1,12,0,12,0,11.1,,
2026-01-01,2026-08-27,Фырчик,Фырчик,78547,96,77,10.4,9,1,10,0,9,1,11.1,,
2026-01-01,2026-08-27,Axeon,Axeon,81057,167,151,9.6,14,2,15,1,13,3,11.1,,
2026-01-01,2026-08-27,Саня запчасти,саня запчасти,41582,56,56,8.9,4,1,5,0,4,1,11.1,,
2026-01-01,2026-08-27,Аномалия,Anомалия,98224,94,93,8.5,8,0,8,0,7,1,11.1,,
2026-01-01,2026-08-27,Алёна,Alena78,23794,95,95,8.4,6,2,8,0,8,0,11.1,,
2026-01-01,2026-08-27,Секрет,Секрет-,88154,134,123,8.2,9,2,11,0,9,2,11.1,,
2026-01-01,2026-08-27,avomarika,avomarika,60805,116,116,7.8,8,1,7,2,9,0,11.1,,
2026-01-01,2026-08-27,Белладонна,Белладонна,84683,115,114,7.8,8,1,7,2,6,3,11.1,,
2026-01-01,2026-08-27,Марипоса,Марипоса,128592,131,131,7.6,9,1,10,0,8,2,11.1,,
2026-01-01,2026-08-27,Story,Story,59762,53,53,7.5,4,0,4,0,4,0,11.1,,
2026-01-01,2026-08-27,Ластхиро,Ластхиро,343,94,94,7.4,7,0,7,0,7,0,11.1,,
2026-01-01,2026-08-27,Macarena,Macarena,70253,96,96,6.2,5,1,5,1,6,0,11.1,,
2026-01-01,2026-08-27,Фартушная,Фартушная,1302,53,53,5.7,3,0,3,0,3,0,11.1,,
2026-01-01,2026-08-27,ФДМ,ФДМ,1306,35,35,5.7,1,1,2,0,2,0,11.1,,
2026-01-01,2026-08-27,Лиса,Лисa,86129,132,132,5.3,4,3,6,1,5,2,11.1,,
2026-01-01,2026-08-27,Вега,Вега,74136,140,122,5.0,7,0,7,0,5,2,11.1,,
2026-01-01,2026-08-27,Hartmann,HARTMANN_SPB,56102,25,25,4.0,1,0,1,0,1,0,11.1,,
