poster_nick,polemica_nick,user_id,profile_url,mmr,city,region,fed_events,fed_scores,fed_top1,fed_top3,fed_top10,date_from,date_to,achievements_count,achievements,error,slice,slice_label,game_type,games,wins,winrate,points,extra_points,avg_score,avg_extra_score,first_killed,first_killed_pct,fouls,tech_fouls,best_move_points,civilian_games,civilian_wins,civilian_winrate,civilian_points,civilian_extra_points,civilian_avg_score,civilian_avg_extra_score,civilian_first_killed,civilian_first_killed_pct,civilian_fouls,civilian_tech_fouls,civilian_best_move_points,sheriff_games,sheriff_wins,sheriff_winrate,sheriff_points,sheriff_extra_points,sheriff_avg_score,sheriff_avg_extra_score,sheriff_first_killed,sheriff_first_killed_pct,sheriff_fouls,sheriff_tech_fouls,sheriff_best_move_points,mafia_games,mafia_wins,mafia_winrate,mafia_points,mafia_extra_points,mafia_avg_score,mafia_avg_extra_score,mafia_first_killed,mafia_first_killed_pct,mafia_fouls,mafia_tech_fouls,mafia_best_move_points,don_games,don_wins,don_winrate,don_points,don_extra_points,don_avg_score,don_avg_extra_score,don_first_killed,don_first_killed_pct,don_fouls,don_tech_fouls,don_best_move_points,scoring_1_games,scoring_1_wins,scoring_1_winrate,scoring_1_points,scoring_1_extra_points,scoring_1_avg_score,scoring_1_avg_extra_score,scoring_1_first_killed,scoring_1_first_killed_pct,scoring_1_fouls,scoring_1_tech_fouls,scoring_1_best_move_points,scoring_2_games,scoring_2_wins,scoring_2_winrate,scoring_2_points,scoring_2_extra_points,scoring_2_avg_score,scoring_2_avg_extra_score,scoring_2_first_killed,scoring_2_first_killed_pct,scoring_2_fouls,scoring_2_tech_fouls,scoring_2_best_move_points,scoring_3_games,scoring_3_wins,scoring_3_winrate,scoring_3_points,scoring_3_extra_points,scoring_3_avg_score,scoring_3_avg_extra_score,scoring_3_first_killed,scoring_3_first_killed_pct,scoring_3_fouls,scoring_3_tech_fouls,scoring_3_best_move_points
Саня запчасти,саня запчасти,41582,https://polemicagame.com/profile/41582,,,,5,30.4,0,0,2,2026-01-01,2026-08-27,3,Первый шаг; Победный дебют; Проверенный черный,,no_open,Без лобби (открытых/фановых игр),"league,club,competition,tournament",262,130,49.6,197.2,73.5,0.75,0.28,29,11.1,0,0,7.9,160,67,41.9,100.75,36.75,0.63,0.23,26,16.2,0,0,7.6,24,9,37.5,16.85,8.75,0.7,0.36,3,12.5,0,0,0.3,57,41,71.9,59.7,20.5,1.05,0.36,0,0.0,0,0,0.0,21,13,61.9,19.9,7.5,0.95,0.36,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,262,130,49.6,197.2,73.5,0.75,0.28,29,11.1,0,0,7.9
Фартушная,Фартушная,1302,https://polemicagame.com/profile/1302,,Санкт-Петербург ,RU,3,74.6,0,1,1,2026-01-01,2026-08-27,0,,,no_open,Без лобби (открытых/фановых игр),"league,club,competition,tournament",70,36,51.4,44.3,19.1,0.63,0.27,13,18.6,0,0,5.2,46,20,43.5,24.9,10.9,0.54,0.24,12,26.1,0,0,4.5,7,6,85.7,7.2,3.0,1.03,0.43,1,14.3,0,0,0.7,12,5,41.7,6.4,2.9,0.53,0.24,0,0.0,0,0,0.0,5,5,100.0,5.8,2.3,1.16,0.46,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,70,36,51.4,44.3,19.1,0.63,0.27,13,18.6,0,0,5.2
Белладонна,Белладонна,84683,https://polemicagame.com/profile/84683,,,,10,130.0,1,2,2,2026-01-01,2026-08-27,0,,,no_open,Без лобби (открытых/фановых игр),"league,club,competition,tournament",163,89,54.6,123.15,48.8,0.76,0.3,33,20.2,2,2,10.8,93,44,47.3,62.9,26.05,0.68,0.28,30,32.3,0,0,9.3,22,15,68.2,21.75,9.75,0.99,0.44,3,13.6,0,0,1.5,31,19,61.3,25.2,8.9,0.81,0.29,0,0.0,0,0,0.0,17,11,64.7,13.3,4.1,0.78,0.24,0,0.0,2,2,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,163,89,54.6,123.15,48.8,0.76,0.3,33,20.2,2,2,10.8
Ластхиро,Ластхиро,343,https://polemicagame.com/profile/343,,Санкт-Петербург,RU,8,189.6,0,1,4,2026-01-01,2026-08-27,6,Миротворец; Первый шаг; Победный дебют; Последний Герой; Проверенный черный; Путь мафиози,,no_open,Без лобби (открытых/фановых игр),"league,club,competition,tournament",168,80,47.6,110.8,48.5,0.66,0.29,21,12.5,1,1,5.0,89,33,37.1,49.95,24.15,0.56,0.27,19,21.3,1,1,4.4,23,14,60.9,20.05,9.65,0.87,0.42,2,8.7,0,0,0.6,45,26,57.8,31.8,11.5,0.71,0.26,0,0.0,0,0,0.0,11,7,63.6,9.0,3.2,0.82,0.29,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,168,80,47.6,110.8,48.5,0.66,0.29,21,12.5,1,1,5.0
avomarika,avomarika,60805,https://polemicagame.com/profile/60805,,Санкт-Петербург,RU,12,226.0,0,1,4,2026-01-01,2026-08-27,5,Миротворец; Первый шаг; Победный дебют; Проверенный черный; Путь мафиози,,no_open,Без лобби (открытых/фановых игр),"league,club,competition,tournament",172,86,50.0,112.9,49.0,0.66,0.28,15,8.7,4,4,4.0,109,49,45.0,65.7,29.3,0.6,0.27,15,13.8,1,1,4.0,8,3,37.5,5.7,3.85,0.71,0.48,0,0.0,2,2,0.0,39,23,59.0,28.65,11.3,0.73,0.29,0,0.0,0,0,0.0,16,11,68.8,12.85,4.55,0.8,0.28,0,0.0,1,1,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,172,86,50.0,112.9,49.0,0.66,0.28,15,8.7,4,4,4.0
Д. Колбасенко,Данил_Колбасенко,88950,https://polemicagame.com/profile/88950,,,,14,221.7,1,3,4,2026-01-01,2026-08-27,6,Миротворец; Первый шаг; Победный дебют; Последний Герой; Проверенный черный; Путь мафиози,,no_open,Без лобби (открытых/фановых игр),"league,club,competition,tournament",181,88,48.6,111.8,46.35,0.62,0.26,7,3.9,1,1,2.6,102,39,38.2,50.65,22.8,0.5,0.22,7,6.9,1,1,2.6,16,6,37.5,10.25,5.75,0.64,0.36,0,0.0,0,0,0.0,41,26,63.4,30.8,10.5,0.75,0.26,0,0.0,0,0,0.0,22,17,77.3,20.1,7.3,0.91,0.33,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,181,88,48.6,111.8,46.35,0.62,0.26,7,3.9,1,1,2.6
Алёна,Alena78,23794,https://polemicagame.com/profile/23794,,Санкт-Петербург,RU,8,146.4,0,0,2,2026-01-01,2026-08-27,4,Миротворец; Первый шаг; Победный дебют; Проверенный черный,,no_open,Без лобби (открытых/фановых игр),"league,club,competition,tournament",139,64,46.0,83.25,37.25,0.6,0.27,14,10.1,0,0,4.9,79,27,34.2,36.55,17.05,0.46,0.22,13,16.5,0,0,4.2,16,6,37.5,10.1,5.9,0.63,0.37,1,6.2,0,0,0.7,31,22,71.0,26.2,10.2,0.85,0.33,0,0.0,0,0,0.0,13,9,69.2,10.4,4.1,0.8,0.32,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,139,64,46.0,83.25,37.25,0.6,0.27,14,10.1,0,0,4.9
Лиса,Лисa,86129,https://polemicagame.com/profile/86129,,,RU,11,216.7,0,0,5,2026-01-01,2026-08-27,2,Первый шаг; Победный дебют,,no_open,Без лобби (открытых/фановых игр),"league,club,competition,tournament",189,92,48.7,123.05,53.25,0.65,0.28,24,12.7,0,0,7.2,112,50,44.6,67.2,29.2,0.6,0.26,19,17.0,0,0,6.0,21,6,28.6,11.45,6.95,0.55,0.33,5,23.8,0,0,1.2,34,25,73.5,29.8,10.5,0.88,0.31,0,0.0,0,0,0.0,22,11,50.0,14.6,6.6,0.66,0.3,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,189,92,48.7,123.05,53.25,0.65,0.28,24,12.7,0,0,7.2
Вега,Вега,74136,https://polemicagame.com/profile/74136,,,,8,202.1,1,2,4,2026-01-01,2026-08-27,4,Миротворец; Первый шаг; Победный дебют; Проверенный черный,,no_open,Без лобби (открытых/фановых игр),"league,club,competition,tournament",199,109,54.8,146.9,59.0,0.74,0.3,23,11.6,2,2,8.6,127,59,46.5,82.15,34.05,0.65,0.27,20,15.7,1,1,7.5,18,8,44.4,12.55,6.05,0.7,0.34,3,16.7,1,1,1.1,32,25,78.1,30.4,10.5,0.95,0.33,0,0.0,0,0,0.0,22,17,77.3,21.8,8.4,0.99,0.38,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,199,109,54.8,146.9,59.0,0.74,0.3,23,11.6,2,2,8.6
Axeon,Axeon,81057,https://polemicagame.com/profile/81057,,,,15,202.4,0,1,4,2026-01-01,2026-08-27,0,,,no_open,Без лобби (открытых/фановых игр),"league,club,competition,tournament",291,115,39.5,151.5,63.4,0.52,0.22,9,3.1,0,0,2.6,162,47,29.0,64.1,27.9,0.4,0.17,8,4.9,0,0,2.2,30,11,36.7,19.6,10.7,0.65,0.36,1,3.3,0,0,0.4,64,36,56.2,40.9,13.8,0.64,0.22,0,0.0,0,0,0.0,35,21,60.0,26.9,11.0,0.77,0.31,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,291,115,39.5,151.5,63.4,0.52,0.22,9,3.1,0,0,2.6
