date_from,date_to,poster_nick,polemica_nick,user_id,mafia_games,games_with_first_vote,games_no_first_vote,voted_civilian,voted_sheriff,voted_own_mafia,voted_own_don,voted_own_black,voted_self,pct_civilian,pct_sheriff,pct_own_mafia,pct_own_don,pct_own_black,pct_red_town,civilian_games,civ_voted_civilian,civ_voted_don,civ_voted_mafia,civ_voted_black,civ_voted_self,civ_pct_sheriff,civ_pct_civilian,civ_pct_black,black_games,don_games,games_with_speech_foul,speech_fouls,speech_on_black,speech_on_red,speech_on_self,speech_on_don,speech_on_mafia,speech_on_civilian,speech_on_sheriff,speech_pct_on_black,speech_pct_on_red,sheriff_n1_checked,pct_sheriff_n1_on_mafia
2026-01-01,2026-08-27,ALL,,,586,566,20,355,80,57,57,114,17,62.7,14.1,10.1,10.1,20.1,76.9,1697,596,230,456,686,14,6.6,42.9,49.4,891,305,573,997,182,798,17,49,133,696,102,18.6,81.4,78,13.3
2026-01-01,2026-08-27,Axeon,Axeon,81057,53,50,3,27,11,3,9,12,0,54.0,22.0,6.0,18.0,24.0,76.0,140,60,14,42,56,2,3.3,49.2,45.9,87,34,48,74,15,57,2,3,12,56,1,20.8,79.2,11,20.8
2026-01-01,2026-08-27,Elric,Elric,99882,32,27,5,18,3,2,2,4,2,66.7,11.1,7.4,7.4,14.8,77.8,97,27,11,28,39,0,7.0,38.0,54.9,48,16,27,40,9,31,0,3,6,27,4,22.5,77.5,3,9.4
2026-01-01,2026-08-27,Hartmann,HARTMANN_SPB,56102,7,7,0,4,2,1,0,1,0,57.1,28.6,14.3,0.0,14.3,85.7,19,9,1,5,6,0,11.8,52.9,35.3,10,3,5,10,3,7,0,0,3,5,2,30.0,70.0,0,0.0
2026-01-01,2026-08-27,Macarena,Macarena,70253,22,22,0,13,4,2,1,3,2,59.1,18.2,9.1,4.5,13.6,77.3,83,22,12,23,35,0,1.7,37.9,60.3,43,21,26,42,9,33,0,2,7,28,5,21.4,78.6,1,4.5
2026-01-01,2026-08-27,Story,Story,59762,16,16,0,11,3,0,2,2,0,68.8,18.8,0.0,12.5,12.5,87.5,45,15,7,17,24,0,4.9,36.6,58.5,27,11,16,26,7,18,1,2,5,14,4,28.0,72.0,5,31.2
2026-01-01,2026-08-27,avomarika,avomarika,60805,39,39,0,22,7,7,2,9,1,56.4,17.9,17.9,5.1,23.1,74.4,108,43,20,26,46,1,2.2,46.7,50.0,55,16,28,40,8,31,1,3,5,23,8,20.5,79.5,6,15.4
2026-01-01,2026-08-27,Алёна,Alena78,23794,30,30,0,21,4,2,1,3,2,70.0,13.3,6.7,3.3,10.0,83.3,79,27,14,21,35,0,6.1,40.9,53.0,43,13,32,58,12,45,1,3,9,35,10,21.1,78.9,3,10.0
2026-01-01,2026-08-27,Аномалия,Anомалия,98224,32,32,0,24,4,3,1,4,0,75.0,12.5,9.4,3.1,12.5,87.5,82,30,9,22,31,1,10.1,43.5,44.9,50,18,38,78,13,62,3,4,9,61,1,17.3,82.7,4,12.5
2026-01-01,2026-08-27,Белладонна,Белладонна,84683,31,31,0,20,2,5,2,7,2,64.5,6.5,16.1,6.5,22.6,71.0,93,30,13,15,28,1,4.8,48.4,45.2,46,15,39,74,14,60,0,4,10,47,13,18.9,81.1,2,6.5
2026-01-01,2026-08-27,Вега,Вега,74136,28,25,3,15,3,2,4,6,1,60.0,12.0,8.0,16.0,24.0,72.0,123,32,15,32,47,1,5.9,37.6,55.3,48,20,24,35,7,27,1,0,7,25,2,20.6,79.4,6,21.4
2026-01-01,2026-08-27,Д. Колбасенко,Данил_Колбасенко,88950,41,41,0,25,2,6,7,13,1,61.0,4.9,14.6,17.1,31.7,65.9,100,29,19,29,48,3,14.0,31.2,51.6,62,21,57,117,19,96,2,7,12,84,12,16.5,83.5,7,17.1
2026-01-01,2026-08-27,Кармин,Кармин,70516,42,42,0,28,7,2,5,7,0,66.7,16.7,4.8,11.9,16.7,83.3,118,34,13,52,65,1,10.7,30.4,58.0,67,25,41,63,10,52,1,3,7,44,8,16.1,83.9,5,11.9
2026-01-01,2026-08-27,Ластхиро,Ластхиро,343,41,41,0,31,2,4,3,7,1,75.6,4.9,9.8,7.3,17.1,80.5,72,17,16,18,34,1,5.5,30.9,61.8,49,8,37,68,8,59,1,4,4,52,7,11.9,88.1,4,9.8
2026-01-01,2026-08-27,Лиса,Лисa,86129,34,34,0,19,5,6,3,9,1,55.9,14.7,17.6,8.8,26.5,70.6,111,50,8,24,32,1,9.8,54.3,34.8,56,22,30,48,8,38,2,3,5,36,2,17.4,82.6,4,11.8
2026-01-01,2026-08-27,Марипоса,Марипоса,128592,35,35,0,17,6,6,5,11,1,48.6,17.1,17.1,14.3,31.4,65.7,113,53,19,30,49,0,4.7,49.5,45.8,51,16,32,61,13,47,1,2,11,41,6,21.7,78.3,6,17.1
2026-01-01,2026-08-27,Саня запчасти,саня запчасти,41582,11,11,0,9,0,0,2,2,0,81.8,0.0,0.0,18.2,18.2,81.8,47,26,6,10,16,0,4.5,59.1,36.4,15,4,10,16,2,14,0,1,1,13,1,12.5,87.5,0,0.0
2026-01-01,2026-08-27,Секрет,Секрет-,88154,34,33,1,20,5,1,6,7,1,60.6,15.2,3.0,18.2,21.2,75.8,118,42,15,29,44,0,7.5,45.2,47.3,49,15,36,61,8,52,1,4,4,44,8,13.3,86.7,7,20.6
2026-01-01,2026-08-27,ФДМ,ФДМ,1306,14,14,0,7,5,1,0,1,1,50.0,35.7,7.1,0.0,7.1,85.7,27,6,4,4,8,0,6.7,40.0,53.3,23,9,22,48,11,37,0,0,11,32,5,22.9,77.1,0,0.0
2026-01-01,2026-08-27,Фартушная,Фартушная,1302,12,12,0,10,0,0,2,2,0,83.3,0.0,0.0,16.7,16.7,83.3,46,13,5,13,18,2,2.9,38.2,52.9,17,5,15,27,5,22,0,1,4,20,2,18.5,81.5,1,8.3
2026-01-01,2026-08-27,Фырчик,Фырчик,78547,32,24,8,14,5,4,0,4,1,58.3,20.8,16.7,0.0,16.7,79.2,76,31,9,16,25,0,6.7,51.7,41.7,45,13,10,11,1,10,0,0,1,9,1,9.1,90.9,3,9.4
