poster_nick,polemica_nick,user_id,profile_url,mmr,city,region,fed_events,fed_scores,fed_top1,fed_top3,fed_top10,date_from,date_to,achievements_count,achievements,error,games,wins,winrate,points,extra_points,avg_score,avg_extra_score,first_killed,first_killed_pct,fouls,tech_fouls,best_move_points,civilian_games,civilian_wins,civilian_winrate,civilian_points,civilian_extra_points,civilian_avg_score,civilian_avg_extra_score,civilian_first_killed,civilian_first_killed_pct,civilian_fouls,civilian_tech_fouls,civilian_best_move_points,sheriff_games,sheriff_wins,sheriff_winrate,sheriff_points,sheriff_extra_points,sheriff_avg_score,sheriff_avg_extra_score,sheriff_first_killed,sheriff_first_killed_pct,sheriff_fouls,sheriff_tech_fouls,sheriff_best_move_points,mafia_games,mafia_wins,mafia_winrate,mafia_points,mafia_extra_points,mafia_avg_score,mafia_avg_extra_score,mafia_first_killed,mafia_first_killed_pct,mafia_fouls,mafia_tech_fouls,mafia_best_move_points,don_games,don_wins,don_winrate,don_points,don_extra_points,don_avg_score,don_avg_extra_score,don_first_killed,don_first_killed_pct,don_fouls,don_tech_fouls,don_best_move_points,league_games,league_wins,league_winrate,league_points,league_extra_points,league_avg_score,league_avg_extra_score,league_first_killed,league_first_killed_pct,league_fouls,league_tech_fouls,league_best_move_points,lobby_games,lobby_wins,lobby_winrate,lobby_points,lobby_extra_points,lobby_avg_score,lobby_avg_extra_score,lobby_first_killed,lobby_first_killed_pct,lobby_fouls,lobby_tech_fouls,lobby_best_move_points,club_games,club_wins,club_winrate,club_points,club_extra_points,club_avg_score,club_avg_extra_score,club_first_killed,club_first_killed_pct,club_fouls,club_tech_fouls,club_best_move_points,competition_games,competition_wins,competition_winrate,competition_points,competition_extra_points,competition_avg_score,competition_avg_extra_score,competition_first_killed,competition_first_killed_pct,competition_fouls,competition_tech_fouls,competition_best_move_points,tournament_games,tournament_wins,tournament_winrate,tournament_points,tournament_extra_points,tournament_avg_score,tournament_avg_extra_score,tournament_first_killed,tournament_first_killed_pct,tournament_fouls,tournament_tech_fouls,tournament_best_move_points,all_tournament_games,all_tournament_wins,all_tournament_winrate,all_tournament_points,all_tournament_extra_points,all_tournament_avg_score,all_tournament_avg_extra_score,all_tournament_first_killed,all_tournament_first_killed_pct,all_tournament_fouls,all_tournament_tech_fouls,all_tournament_best_move_points,non_tournament_games,non_tournament_wins,non_tournament_winrate,non_tournament_points,non_tournament_extra_points,non_tournament_avg_score,non_tournament_avg_extra_score,non_tournament_first_killed,non_tournament_first_killed_pct,non_tournament_fouls,non_tournament_tech_fouls,non_tournament_best_move_points,online_games,online_wins,online_winrate,online_points,online_extra_points,online_avg_score,online_avg_extra_score,online_first_killed,online_first_killed_pct,online_fouls,online_tech_fouls,online_best_move_points,offline_games,offline_wins,offline_winrate,offline_points,offline_extra_points,offline_avg_score,offline_avg_extra_score,offline_first_killed,offline_first_killed_pct,offline_fouls,offline_tech_fouls,offline_best_move_points,scoring_1_games,scoring_1_wins,scoring_1_winrate,scoring_1_points,scoring_1_extra_points,scoring_1_avg_score,scoring_1_avg_extra_score,scoring_1_first_killed,scoring_1_first_killed_pct,scoring_1_fouls,scoring_1_tech_fouls,scoring_1_best_move_points,scoring_2_games,scoring_2_wins,scoring_2_winrate,scoring_2_points,scoring_2_extra_points,scoring_2_avg_score,scoring_2_avg_extra_score,scoring_2_first_killed,scoring_2_first_killed_pct,scoring_2_fouls,scoring_2_tech_fouls,scoring_2_best_move_points,scoring_3_games,scoring_3_wins,scoring_3_winrate,scoring_3_points,scoring_3_extra_points,scoring_3_avg_score,scoring_3_avg_extra_score,scoring_3_first_killed,scoring_3_first_killed_pct,scoring_3_fouls,scoring_3_tech_fouls,scoring_3_best_move_points
Саня запчасти,саня запчасти,41582,https://polemicagame.com/profile/41582,,,,5,30.4,0,0,2,2026-01-01,2026-08-27,3,Первый шаг; Победный дебют; Проверенный черный,,262,130,49.6,197.2,73.5,0.75,0.28,29,11.1,0,0,7.9,160,67,41.9,100.75,36.75,0.63,0.23,26,16.2,0,0,7.6,24,9,37.5,16.85,8.75,0.7,0.36,3,12.5,0,0,0.3,57,41,71.9,59.7,20.5,1.05,0.36,0,0.0,0,0,0.0,21,13,61.9,19.9,7.5,0.95,0.36,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,191,99,51.8,152.5,53.5,0.8,0.28,26,13.6,0,0,6.9,71,31,43.7,44.7,20.0,0.63,0.28,3,4.2,0,0,1.0,0,0,,0.0,0.0,,,0,,0,0,0.0,71,31,43.7,44.7,20.0,0.63,0.28,3,4.2,0,0,1.0,191,99,51.8,152.5,53.5,0.8,0.28,26,13.6,0,0,6.9,191,99,51.8,152.5,53.5,0.8,0.28,26,13.6,0,0,6.9,71,31,43.7,44.7,20.0,0.63,0.28,3,4.2,0,0,1.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,262,130,49.6,197.2,73.5,0.75,0.28,29,11.1,0,0,7.9
Фартушная,Фартушная,1302,https://polemicagame.com/profile/1302,,Санкт-Петербург ,RU,3,74.6,0,1,1,2026-01-01,2026-08-27,0,,,70,36,51.4,44.3,19.1,0.63,0.27,13,18.6,0,0,5.2,46,20,43.5,24.9,10.9,0.54,0.24,12,26.1,0,0,4.5,7,6,85.7,7.2,3.0,1.03,0.43,1,14.3,0,0,0.7,12,5,41.7,6.4,2.9,0.53,0.24,0,0.0,0,0,0.0,5,5,100.0,5.8,2.3,1.16,0.46,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,70,36,51.4,44.3,19.1,0.63,0.27,13,18.6,0,0,5.2,0,0,,0.0,0.0,,,0,,0,0,0.0,70,36,51.4,44.3,19.1,0.63,0.27,13,18.6,0,0,5.2,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,70,36,51.4,44.3,19.1,0.63,0.27,13,18.6,0,0,5.2,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,70,36,51.4,44.3,19.1,0.63,0.27,13,18.6,0,0,5.2
Белладонна,Белладонна,84683,https://polemicagame.com/profile/84683,,,,10,130.0,1,2,2,2026-01-01,2026-08-27,0,,,163,89,54.6,123.15,48.8,0.76,0.3,33,20.2,2,2,10.8,93,44,47.3,62.9,26.05,0.68,0.28,30,32.3,0,0,9.3,22,15,68.2,21.75,9.75,0.99,0.44,3,13.6,0,0,1.5,31,19,61.3,25.2,8.9,0.81,0.29,0,0.0,0,0,0.0,17,11,64.7,13.3,4.1,0.78,0.24,0,0.0,2,2,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,1,0,0.0,0.1,0.1,0.1,0.1,0,0.0,1,1,0.0,162,89,54.9,123.05,48.7,0.76,0.3,33,20.4,1,1,10.8,0,0,,0.0,0.0,,,0,,0,0,0.0,162,89,54.9,123.05,48.7,0.76,0.3,33,20.4,1,1,10.8,1,0,0.0,0.1,0.1,0.1,0.1,0,0.0,1,1,0.0,1,0,0.0,0.1,0.1,0.1,0.1,0,0.0,1,1,0.0,162,89,54.9,123.05,48.7,0.76,0.3,33,20.4,1,1,10.8,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,163,89,54.6,123.15,48.8,0.76,0.3,33,20.2,2,2,10.8
Ластхиро,Ластхиро,343,https://polemicagame.com/profile/343,,Санкт-Петербург,RU,8,189.6,0,1,4,2026-01-01,2026-08-27,6,Миротворец; Первый шаг; Победный дебют; Последний Герой; Проверенный черный; Путь мафиози,,239,112,46.9,158.05,63.75,0.66,0.27,35,14.6,1,1,7.8,135,53,39.3,79.05,33.25,0.59,0.25,31,23.0,1,1,7.2,33,20,60.6,28.6,12.2,0.87,0.37,4,12.1,0,0,0.6,54,28,51.9,35.1,12.8,0.65,0.24,0,0.0,0,0,0.0,17,11,64.7,15.3,5.5,0.9,0.32,0,0.0,0,0,0.0,17,8,47.1,11.3,3.3,0.66,0.19,1,5.9,0,0,0.1,71,32,45.1,47.25,15.25,0.67,0.21,14,19.7,0,0,2.8,8,1,12.5,3.5,2.5,0.44,0.31,1,12.5,0,0,0.3,143,71,49.7,96.0,42.7,0.67,0.3,19,13.3,1,1,4.6,0,0,,0.0,0.0,,,0,,0,0,0.0,143,71,49.7,96.0,42.7,0.67,0.3,19,13.3,1,1,4.6,96,41,42.7,62.05,21.05,0.65,0.22,16,16.7,0,0,3.2,96,41,42.7,62.05,21.05,0.65,0.22,16,16.7,0,0,3.2,143,71,49.7,96.0,42.7,0.67,0.3,19,13.3,1,1,4.6,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,239,112,46.9,158.05,63.75,0.66,0.27,35,14.6,1,1,7.8
avomarika,avomarika,60805,https://polemicagame.com/profile/60805,,Санкт-Петербург,RU,12,226.0,0,1,4,2026-01-01,2026-08-27,5,Миротворец; Первый шаг; Победный дебют; Проверенный черный; Путь мафиози,,176,88,50.0,115.7,49.8,0.66,0.28,15,8.5,4,4,4.0,111,50,45.0,66.9,29.5,0.6,0.27,15,13.5,1,1,4.0,8,3,37.5,5.7,3.85,0.71,0.48,0,0.0,2,2,0.0,41,24,58.5,30.25,11.9,0.74,0.29,0,0.0,0,0,0.0,16,11,68.8,12.85,4.55,0.8,0.28,0,0.0,1,1,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,4,2,50.0,2.8,0.8,0.7,0.2,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,172,86,50.0,112.9,49.0,0.66,0.28,15,8.7,4,4,4.0,0,0,,0.0,0.0,,,0,,0,0,0.0,172,86,50.0,112.9,49.0,0.66,0.28,15,8.7,4,4,4.0,4,2,50.0,2.8,0.8,0.7,0.2,0,0.0,0,0,0.0,4,2,50.0,2.8,0.8,0.7,0.2,0,0.0,0,0,0.0,172,86,50.0,112.9,49.0,0.66,0.28,15,8.7,4,4,4.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,176,88,50.0,115.7,49.8,0.66,0.28,15,8.5,4,4,4.0
Д. Колбасенко,Данил_Колбасенко,88950,https://polemicagame.com/profile/88950,,,,14,221.7,1,3,4,2026-01-01,2026-08-27,6,Миротворец; Первый шаг; Победный дебют; Последний Герой; Проверенный черный; Путь мафиози,,213,100,46.9,131.1,53.65,0.62,0.25,10,4.7,1,1,2.9,119,42,35.3,56.05,25.2,0.47,0.21,8,6.7,1,1,2.6,21,8,38.1,13.35,6.85,0.64,0.33,2,9.5,0,0,0.3,51,33,64.7,41.6,14.3,0.82,0.28,0,0.0,0,0,0.0,22,17,77.3,20.1,7.3,0.91,0.33,0,0.0,0,0,0.0,4,1,25.0,1.1,0.1,0.28,0.02,0,0.0,0,0,0.0,32,12,37.5,19.3,7.3,0.6,0.23,3,9.4,0,0,0.3,0,0,,0.0,0.0,,,0,,0,0,0.0,177,87,49.2,110.7,46.25,0.63,0.26,7,4.0,1,1,2.6,0,0,,0.0,0.0,,,0,,0,0,0.0,177,87,49.2,110.7,46.25,0.63,0.26,7,4.0,1,1,2.6,36,13,36.1,20.4,7.4,0.57,0.21,3,8.3,0,0,0.3,36,13,36.1,20.4,7.4,0.57,0.21,3,8.3,0,0,0.3,177,87,49.2,110.7,46.25,0.63,0.26,7,4.0,1,1,2.6,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,213,100,46.9,131.1,53.65,0.62,0.25,10,4.7,1,1,2.9
Алёна,Alena78,23794,https://polemicagame.com/profile/23794,,Санкт-Петербург,RU,8,146.4,0,0,2,2026-01-01,2026-08-27,4,Миротворец; Первый шаг; Победный дебют; Проверенный черный,,139,64,46.0,83.25,37.25,0.6,0.27,14,10.1,0,0,4.9,79,27,34.2,36.55,17.05,0.46,0.22,13,16.5,0,0,4.2,16,6,37.5,10.1,5.9,0.63,0.37,1,6.2,0,0,0.7,31,22,71.0,26.2,10.2,0.85,0.33,0,0.0,0,0,0.0,13,9,69.2,10.4,4.1,0.8,0.32,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,139,64,46.0,83.25,37.25,0.6,0.27,14,10.1,0,0,4.9,0,0,,0.0,0.0,,,0,,0,0,0.0,139,64,46.0,83.25,37.25,0.6,0.27,14,10.1,0,0,4.9,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,139,64,46.0,83.25,37.25,0.6,0.27,14,10.1,0,0,4.9,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,139,64,46.0,83.25,37.25,0.6,0.27,14,10.1,0,0,4.9
Лиса,Лисa,86129,https://polemicagame.com/profile/86129,,,RU,11,216.7,0,0,5,2026-01-01,2026-08-27,2,Первый шаг; Победный дебют,,189,92,48.7,123.05,53.25,0.65,0.28,24,12.7,0,0,7.2,112,50,44.6,67.2,29.2,0.6,0.26,19,17.0,0,0,6.0,21,6,28.6,11.45,6.95,0.55,0.33,5,23.8,0,0,1.2,34,25,73.5,29.8,10.5,0.88,0.31,0,0.0,0,0,0.0,22,11,50.0,14.6,6.6,0.66,0.3,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,1,0,0.0,-0.1,-0.1,-0.1,-0.1,0,0.0,0,0,0.0,188,92,48.9,123.15,53.35,0.66,0.28,24,12.8,0,0,7.2,0,0,,0.0,0.0,,,0,,0,0,0.0,188,92,48.9,123.15,53.35,0.66,0.28,24,12.8,0,0,7.2,1,0,0.0,-0.1,-0.1,-0.1,-0.1,0,0.0,0,0,0.0,1,0,0.0,-0.1,-0.1,-0.1,-0.1,0,0.0,0,0,0.0,188,92,48.9,123.15,53.35,0.66,0.28,24,12.8,0,0,7.2,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,189,92,48.7,123.05,53.25,0.65,0.28,24,12.7,0,0,7.2
Вега,Вега,74136,https://polemicagame.com/profile/74136,,,,8,202.1,1,2,4,2026-01-01,2026-08-27,4,Миротворец; Первый шаг; Победный дебют; Проверенный черный,,199,109,54.8,146.9,59.0,0.74,0.3,23,11.6,2,2,8.6,127,59,46.5,82.15,34.05,0.65,0.27,20,15.7,1,1,7.5,18,8,44.4,12.55,6.05,0.7,0.34,3,16.7,1,1,1.1,32,25,78.1,30.4,10.5,0.95,0.33,0,0.0,0,0,0.0,22,17,77.3,21.8,8.4,0.99,0.38,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,11,6,54.5,9.3,3.3,0.85,0.3,0,0.0,0,0,0.0,188,103,54.8,137.6,55.7,0.73,0.3,23,12.2,2,2,8.6,0,0,,0.0,0.0,,,0,,0,0,0.0,188,103,54.8,137.6,55.7,0.73,0.3,23,12.2,2,2,8.6,11,6,54.5,9.3,3.3,0.85,0.3,0,0.0,0,0,0.0,11,6,54.5,9.3,3.3,0.85,0.3,0,0.0,0,0,0.0,188,103,54.8,137.6,55.7,0.73,0.3,23,12.2,2,2,8.6,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,199,109,54.8,146.9,59.0,0.74,0.3,23,11.6,2,2,8.6
Axeon,Axeon,81057,https://polemicagame.com/profile/81057,,,,15,202.4,0,1,4,2026-01-01,2026-08-27,0,,,291,115,39.5,151.5,63.4,0.52,0.22,9,3.1,0,0,2.6,162,47,29.0,64.1,27.9,0.4,0.17,8,4.9,0,0,2.2,30,11,36.7,19.6,10.7,0.65,0.36,1,3.3,0,0,0.4,64,36,56.2,40.9,13.8,0.64,0.22,0,0.0,0,0,0.0,35,21,60.0,26.9,11.0,0.77,0.31,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,35,16,45.7,22.7,6.7,0.65,0.19,2,5.7,0,0,0.6,256,99,38.7,128.8,56.7,0.5,0.22,7,2.7,0,0,2.0,0,0,,0.0,0.0,,,0,,0,0,0.0,256,99,38.7,128.8,56.7,0.5,0.22,7,2.7,0,0,2.0,35,16,45.7,22.7,6.7,0.65,0.19,2,5.7,0,0,0.6,35,16,45.7,22.7,6.7,0.65,0.19,2,5.7,0,0,0.6,256,99,38.7,128.8,56.7,0.5,0.22,7,2.7,0,0,2.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,291,115,39.5,151.5,63.4,0.52,0.22,9,3.1,0,0,2.6
