date_from,date_to,poster_nick,polemica_nick,user_id,ugadayka_games,ugadayka_wins,ugadayka_losses,pct_ugadayka_win,as_mafia,as_don,day_games,day_wins,pct_day_win,night_games,night_wins,pct_night_win,unique_games,unique_wins
2026-01-01,2026-08-27,ALL,,,123,71,52,57.7,98,25,120,68,56.7,3,3,100.0,460,258
2026-01-01,2026-08-27,Hartmann,HARTMANN_SPB,56102,1,1,0,100.0,1,0,1,1,100.0,0,0,,,
2026-01-01,2026-08-27,Кармин,Кармин,70516,7,6,1,85.7,6,1,7,6,85.7,0,0,,,
2026-01-01,2026-08-27,Марипоса,Марипоса,128592,10,8,2,80.0,8,2,10,8,80.0,0,0,,,
2026-01-01,2026-08-27,Axeon,Axeon,81057,8,6,2,75.0,6,2,8,6,75.0,0,0,,,
2026-01-01,2026-08-27,Elric,Elric,99882,4,3,1,75.0,4,0,4,3,75.0,0,0,,,
2026-01-01,2026-08-27,Белладонна,Белладонна,84683,4,3,1,75.0,4,0,4,3,75.0,0,0,,,
2026-01-01,2026-08-27,Вега,Вега,74136,3,2,1,66.7,2,1,3,2,66.7,0,0,,,
2026-01-01,2026-08-27,Саня запчасти,саня запчасти,41582,3,2,1,66.7,1,2,3,2,66.7,0,0,,,
2026-01-01,2026-08-27,Фартушная,Фартушная,1302,3,2,1,66.7,3,0,3,2,66.7,0,0,,,
2026-01-01,2026-08-27,Д. Колбасенко,Данил_Колбасенко,88950,8,5,3,62.5,6,2,8,5,62.5,0,0,,,
2026-01-01,2026-08-27,Лиса,Лисa,86129,12,7,5,58.3,8,4,12,7,58.3,0,0,,,
2026-01-01,2026-08-27,Ластхиро,Ластхиро,343,9,5,4,55.6,7,2,9,5,55.6,0,0,,,
2026-01-01,2026-08-27,avomarika,avomarika,60805,15,8,7,53.3,12,3,14,7,50.0,1,1,100.0,,
2026-01-01,2026-08-27,Секрет,Секрет-,88154,8,4,4,50.0,7,1,7,3,42.9,1,1,100.0,,
2026-01-01,2026-08-27,ФДМ,ФДМ,1306,2,1,1,50.0,1,1,2,1,50.0,0,0,,,
2026-01-01,2026-08-27,Алёна,Alena78,23794,7,3,4,42.9,6,1,7,3,42.9,0,0,,,
2026-01-01,2026-08-27,Macarena,Macarena,70253,6,2,4,33.3,4,2,5,1,20.0,1,1,100.0,,
2026-01-01,2026-08-27,Фырчик,Фырчик,78547,3,1,2,33.3,2,1,3,1,33.3,0,0,,,
2026-01-01,2026-08-27,Аномалия,Anомалия,98224,8,2,6,25.0,8,0,8,2,25.0,0,0,,,
2026-01-01,2026-08-27,Story,Story,59762,2,0,2,0.0,2,0,2,0,0.0,0,0,,,
